# Constructed from biom file																																													
#OTU ID	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d16_1	d16_2	d16_3	d16_4	d16_5	d16_6	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d4_1	d4_2	d4_3	d4_4	d4_5	d4_6	d8_1	d8_2	d8_3	d8_4	d8_5	d8_6	donor	food1	food2	m1	m2	m3	m4	m5	m6
0797a60d4e70305eeda36aa411a331e6	0	0	135	359	0	0	0	0	32	705	0	0	112	12	39	0	0	457	0	83	292	442	0	0	0	0	68	50	0	0	0	712	0	553	0	0	1033	0	0	0	0	0	0	0	0
134df24da7f46584d82486a55a671ee8	0	0	43	43	41	0	0	0	876	40	513	0	0	454	0	6	0	341	0	0	142	342	794	0	0	0	19	370	206	0	0	298	0	590	0	0	19	0	0	0	0	0	3	5	0
ecfe652dbb3ff563bc4020cea35ff205	59	0	62	0	353	479	19	43	28	0	148	416	0	0	0	0	0	9	18	189	0	13	85	518	1070	0	0	0	62	199	220	54	0	0	21	54	0	0	0	13	13	0	0	11	7
954f1c165f5229ca98acf0efae7ae294	55	0	158	0	0	448	42	0	125	0	629	648	54	53	59	0	14	68	92	0	77	0	202	281	187	0	266	0	15	527	29	0	0	0	0	0	37	0	0	22	22	0	0	19	15
291b9192a86a8b750304a53b27ca058a	83	600	0	0	0	0	57	478	0	0	0	0	0	81	0	0	5	0	66	380	0	0	0	0	221	0	0	0	0	0	44	854	0	0	0	0	0	0	0	25	25	0	0	0	0
2269f54b45b62aa0cb8e3caecb8d75e5	0	0	0	425	0	0	0	0	0	678	0	0	41	0	195	1820	80	0	0	0	0	482	0	0	0	0	0	492	0	0	0	0	28	570	26	0	297	0	0	16	16	14	12	0	0
24a65ad3fc5544a5cf639c2f3b53b89f	0	0	223	0	0	0	53	0	185	0	0	0	100	0	0	0	0	97	200	0	52	0	107	0	574	0	115	0	0	51	399	0	0	0	0	1059	0	0	0	0	0	0	0	0	0
09e625c567087c922337bfa4ae0d1ab8	0	0	0	0	0	0	0	0	73	0	0	0	0	961	448	0	0	0	0	0	231	0	36	0	0	0	263	0	0	0	0	1	2404	0	22	0	0	0	0	0	0	0	0	0	0
069df61b755a3754c6c0e35b799506bd	0	0	0	42	659	0	0	0	0	31	461	0	100	20	115	0	0	221	0	14	0	0	1226	0	0	35	0	62	267	0	0	100	950	69	259	0	22	0	0	3	3	0	0	8	0
2bbe3f779a98ec53ae86c1362ab46567	0	0	42	35	31	0	0	0	632	47	369	0	0	521	0	0	0	229	0	0	138	295	591	0	0	0	0	304	166	0	0	370	0	462	0	0	0	0	0	0	0	0	0	0	0
832fef5ba86a9912baebba04f3c1a3c2	59	21	76	0	10	50	95	60	187	0	5	245	20	48	24	0	136	8	106	214	592	0	9	304	110	0	281	0	17	18	39	227	28	0	22	0	0	0	0	0	0	0	0	12	2
214f6f6fcdaf4fac844bca73891d1b06	154	163	349	0	0	28	60	152	55	0	0	113	0	0	0	0	0	0	27	56	47	0	0	82	18	70	0	0	0	854	394	6	0	0	0	41	0	0	0	0	0	0	0	0	0
bf5e595c96b1eca7929b596daa11f375	150	53	31	21	6	169	145	431	86	13	23	217	92	43	11	0	0	12	55	179	169	11	53	158	172	20	34	9	18	143	236	184	0	8	0	0	0	0	0	16	16	0	0	1	0
0ef0c942d408a961810b5e3cd41a05be	0	313	7	0	0	0	0	636	0	0	0	0	43	330	0	0	0	0	0	910	0	0	0	0	0	3	38	0	0	0	0	398	84	0	0	0	0	0	0	25	25	0	0	0	0
d06e233e58d2f2449c9555c367f9162f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	899	25	123	155	978
